price,discount,selling_proposition,product_name,source_file,category
0.74,-47%,100+ sold recently,1pc Plain Egg Separator,us-shein-appliances-3987.csv,Appliances
8.94,-28%,Unknown,"6 Blades USB Portable Juicer Maker, Juicer Fruit Juice Cup Automatic Small Electric Juicer Smoothie Blender Ice CrushCup Food Processor",us-shein-appliances-3987.csv,Appliances
8.55,-29%,200+ sold recently,"1PC 16LED USB/Battery Dual Use Makeup Mirror Light, Desktop Mirror Surface Rotatable Makeup Mirror Light 3-Speed Touch Screen Vanity Mirror, Brightness Adjustable Cosmetic Light Up Mirror, Portable Dormitory Bedroom Desktop Vanity Mirror With Light",us-shein-appliances-3987.csv,Appliances
4.7,-13%,Unknown,"1pc Silicone Ice Cube Trays With Lids, 2 Inches Rose Ice Cube Trays With Covers, 6 Cavity Silicone Rose Ice Ball Maker, Easy Release Large Ice Cube Form For Chilled Cocktails, Whiskey, Bourbon & Homemade Juice",us-shein-appliances-3987.csv,Appliances
3.46,-48%,Unknown,"1pc Pink 500ml Manual Garlic Masher For Home Use, Hand-held Garlic Press For Cutting Vegetables, Suitable For Chopping Garlic, Ginger, Chili, Onion And Other Foods",us-shein-appliances-3987.csv,Appliances
12.5,Unknown,100+ sold recently,"1pc Wax Bean Heater Hair Removal Tool For Both Women & Men, Large Capacity",us-shein-appliances-3987.csv,Appliances
2.6,-4%,8.7k+ sold recently,1PC Epilator Face Hair Removal Lipstick Shaver Electric Eyebrow Trimmer Women's Painless Hair Remover Mini Shaver Epilator For Women [Dry Cell Type (Excluding Battery)],us-shein-appliances-3987.csv,Appliances
4.2,-22%,200+ sold recently,1pc + Rechargeable + 500mah Lithium Battery + Handheld Portable + Standable + With Hanging Rope + 3-Level Adjustable,us-shein-appliances-3987.csv,Appliances
9.3,Unknown,Unknown,"Electric Garlic Masher, Portable Mini Garlic Chopper, Garlic Blender, Household Electric Garlic Press, Wireless Garlic Mincer, Garlic Slicer, Portable Compact Design, Easy-To-Use Kitchen Tool,Kitchen,Kitchen Items,Food,Cooking,Camping,Meat,Poultry,Room Decor,Organizer,Party.",us-shein-appliances-3987.csv,Appliances
2.1,Unknown,Unknown,"1pc 4-Grid Egg Frying Pan, Kitchen Baking Mold, Flower Shaped Silicone Egg Cooking Mold",us-shein-appliances-3987.csv,Appliances
1.9,Unknown,100+ sold recently,"2-In-1 Watermelon Fork Slicer Cutter, 2024 Summer New Watermelon Slicer Cutter, Watermelon Fork Slicer, Summer Watermelon Cutting Artifact, Stainless Steel Fruit Forks Slicer Knife. Dual Head Stainless Steel Fruit Forks Slicer Knife For Family Parties Camping Party, Kitchen Gadgets, Kitchen Supplies",us-shein-appliances-3987.csv,Appliances
6.12,-40%,Unknown,"O3 Ozone Generator Air Purifier,Refrigerator Deodorizer,Food Shelf Life Extender,Remove Smoke Pet Toilet Smell",us-shein-appliances-3987.csv,Appliances
4.66,-20%,100+ sold recently,1pc 4D Multifunctional Lifting And Tightening Massage Instrument For Home Use - One Tool For Total Body Beauty And Skin Care,us-shein-appliances-3987.csv,Appliances
5.96,-47%,10+ sold recently,"5 In 1 Multi-Function Electric Scrubber  Portable Spin Scrubber, Cordless Handheld Cleaning Brush For Bathroom/Tub/Wall Tiles/ Floor/Kitchen Usb Rechargeable Kitchen Dish Washing Brush Sink Cleaner Bathroom Bathtub Clean Brush Spin Scrubber Electric Cleaning Brush",us-shein-appliances-3987.csv,Appliances
1.6,Unknown,1.6k+ sold recently,"1pc 10ml Oil-Based Aroma Refill, Suitable For Aromatherapy Candles, Fragrance Stones, Aromatherapy Plaster, Not For Humidifiers",us-shein-appliances-3987.csv,Appliances
23.5,Unknown,Unknown,Electric Hair Straightener Brush Straightening Curler Hot Comb LCD Display Flat Iron,us-shein-appliances-3987.csv,Appliances
3.9,-29%,30+ sold recently,1pc Silicone Ice Cube Trays With Lids,us-shein-appliances-3987.csv,Appliances
1.7,Unknown,Unknown,1pc Kitchen Long-Handled Noodle & Soup Strainer Ladle With Drainer,us-shein-appliances-3987.csv,Appliances
2.7,Unknown,Unknown,"4pcs Makeup Sponge Beauty Egg Set - Makeup Sponge For Foundation Blending With Egg Holder, Perfectly Used For Cream, Powder, Blush, Concealer, And Liquid",us-shein-appliances-3987.csv,Appliances
4.38,-32%,Unknown,1pc Salon Tools Black Pink Universal Silicone Hair Dryer Diffuser Hood Adjustable Temperature Dispersion Resistant Drying Hair Dryer,us-shein-appliances-3987.csv,Appliances
2.86,-25%,Unknown,Portable Lithium Battery Powered Hair Trimmer & Nose Hair Trimmer,us-shein-appliances-3987.csv,Appliances
3.46,-51%,Unknown,"Multifunctional Manual Food Chopper, Kitchen Vegetable Fruit Onion Garlic Nuts Herb Slicer, Hand-Powered Mixing Cutter, Green",us-shein-appliances-3987.csv,Appliances
2.4,Unknown,Unknown,"1 Set Of 2 Portable Fan Cleaning Brushes, Household Multi-Purpose Keyboard And Gap Cleaning Small Brush - Deep Into The Gap, Easily Remove Dust.",us-shein-appliances-3987.csv,Appliances
2.6,Unknown,Unknown,"Smart Electric Toothbrush With 6 Modes 42000vpm & Smart Timer - Effectively Cleans Teeth & Gums, Rechargeable USB Electric Toothbrush With 4/8 Replacement Head, Electric Toothbrush For Adults, Available In 3 Colors, Great Gift Father's Day Gift",us-shein-appliances-3987.csv,Appliances
2.1,-46%,Unknown,1pc 12.7cm Aluminum Metal Electric Battery Type Eyebrow Shaver Nose Hair Trimmer,us-shein-appliances-3987.csv,Appliances
35.0,Unknown,Unknown,"Professional Curler, Electrically Heated Automatic Curler, Negative Ion Electric Clip Curler, Portable Heated Hair Styling Tool For Home Use, Salon, Hair Salon, Mother's Day Gift",us-shein-appliances-3987.csv,Appliances
4.4,Unknown,Unknown,"1pc Mini Bag Sealer, Rechargeable Portable Sealing Machine, Handheld Plastic Vacuum Sealer For Kitchen Packaging",us-shein-appliances-3987.csv,Appliances
2.95,-16%,100+ sold recently,"New Mini Nail Lamp Portable Led Uv Lamp Usb Nail Dryer For Gel Polish, Single Finger Curing",us-shein-appliances-3987.csv,Appliances
34.99,-54%,Unknown,"Reemix Mini Fridge, 3.7 Liter/6 Can Portable Cooler And Warmer Personal Refrigerator For Skin Care, Cosmetics, Beverage, Food,Great For Bedroom, Office, Car, Freon-Free",us-shein-appliances-3987.csv,Appliances
5.31,-44%,10+ sold recently,"1pc Smart Stainless Steel Mug With Mixing Rod, Self-Stirring Cup Coffee Milk Mixer, Warm Bottle Full Automatic Mixing Cup Rotating Water Cup Electric Coffee Cup Lazy Portable Milk Stainless Steel Cup",us-shein-appliances-3987.csv,Appliances
4.0,-5%,Unknown,"1 Set Of 100 Sheets Rectangular Parchment Paper For Baking, Siliconized Greaseproof Paper For BBQ & Steaming, Tray Absorbent Oil Blotting Pads",us-shein-appliances-3987.csv,Appliances
6.37,-41%,400+ sold recently,"USB Rechargeable Electric Milk Frother, Powerful Handheld Milk Frother, Mini Milk Foamer,Coffee Stirrer, Stainless Steel Drink Mixer For Coffee, Lattes, Cappuccino,Matcha,Hot Chocolate, Portable Foam Maker,Electric Wireless Blender Mini Coffee Maker",us-shein-appliances-3987.csv,Appliances
4.8,-4%,Unknown,"Portable Led Lighted Magnifying Travel Makeup Mirror 1X/3X Magnification Folding Dual Sided Compact Handheld Illuminated Mirror For Home Tabletop Decoration, Bathroom, Dresser Vanity & Countertop Bedroom Travel Dormitory Mirror Women Gift",us-shein-appliances-3987.csv,Appliances
3.0,Unknown,Unknown,"1pc Handheld Portable Fan With Hand Rope And Self-Installed Battery, 1 Speed",us-shein-appliances-3987.csv,Appliances
10.88,-15%,Unknown,"1 Pc Menstrual Heating Pad  Uterine Warmer Hot Massage Stomach Heating Pad For Ladies And Girls Multi-Speed Adjustable Abdominal Heating MassageR,Portable Cordless Heating Pad, Electric Waist Belt Device",us-shein-appliances-3987.csv,Appliances
19.78,-27%,Unknown,1PC Travel Electric Kettle Small Stainless Steel Portable Electric Kettle For Boiling Water Travel Tea Kettle Automatic Shut-Off Dry Protection 4 Preset Heating Settings 500ml Kettle For Coffee(White),us-shein-appliances-3987.csv,Appliances
1.56,-71%,20+ sold recently,"1pc 500ml/1000ml Clear Milk Carton Water Bottles,Can Be Reused,Leakproof Cute Square Portable Juice Bottle For Outdoor Sports Travel Camping School Activities",us-shein-appliances-3987.csv,Appliances
1.9,Unknown,Unknown,"1pc High-Quality Heat-Resistant Slotted Spoon - Extra-Long Handle For Safe Cooking And Serving, Large Drainage Slot For Dumplings, Noodles, And More, Easy To Clean - Durable Ergonomic Design For Various Kitchen Tasks",us-shein-appliances-3987.csv,Appliances
11.6,Unknown,Unknown,"1pc 300ml Electric Portable Juicer, USB Rechargeable Mini Fruit Juicer, Wireless Electric Juicer Personal Size Blender For Smoothies And Shakes, 1200mAh Super Long Battery Life, Home Fruit Blender For Sports, Kitchen, Home, Travel,Vegetable Fruit Tools,Kitchen Items,Cutter,Food,Salad,Decor,Storage,Party,Birthday,Camping,Summer Beach.",us-shein-appliances-3987.csv,Appliances
2.9,Unknown,200+ sold recently,"1pc Black Baking Tray With Special Barbecue Design For Air Fryer, Made Of Thickened Silicone With Anti-stick Mat, Reusable And Durable",us-shein-appliances-3987.csv,Appliances
2.99,-35%,Unknown,"Teckwe Multifunctional Electric Shaver For Men,USB Rechargeable Clippers For Beard Shaver With Guide Combs,Dragon & Phoenix Carving Mens Suitable For Home And Professional Barber Shop Use,Grooming Kit Valentine's Day Gift",us-shein-appliances-3987.csv,Appliances
2.07,-10%,10k+ sold recently,"Electric Nose Hair Trimmer, Unisex Nose Hair Cleaning Tool, Black Color Ear & Nose Hair Clipper, Personal Care Tool",us-shein-appliances-3987.csv,Appliances
19.99,-50%,80+ sold recently,"Sandwich Maker, Toaster And Electric Panini Grill With Non-Stick Coating Plate, Easy To Clean, Heating Up Fast, Built In Indicator Lights, Black",us-shein-appliances-3987.csv,Appliances
5.3,-4%,20+ sold recently,"Professional Teeth Whitening Kit - LED Light And Gel Strips Teeth Whitening Agent For A Brighter Smile, Suitable For Sensitive Teeth And Orthodontic Care",us-shein-appliances-3987.csv,Appliances
2.4,-17%,400+ sold recently,50pcs Air Fryer Disposable Paper Parchment Wood Pulp Steamer Cheesecake Air Fryer Accessories Baking Paper For Air Fryer,us-shein-appliances-3987.csv,Appliances
21.4,Unknown,Unknown,"BEBIRD Ear Wax Removal Tool - R1 Upgraded Ear Cleaner With 1080P Camera,Comes With Two Replacement Heads,Ear Cleaner With Camera,Safer Ear Canal Cleaning",us-shein-appliances-3987.csv,Appliances
8.8,Unknown,Unknown,"Personal Portable Blender,Mini Juice Blender, USB Rechargeable Small Size Blender For Smoothies And Shakes,Mini Juicer Cup Travel 380ml, Juice, Milk,5Colors Available",us-shein-appliances-3987.csv,Appliances
7.0,-7%,300+ sold recently,"Battery Powered Black Folding Led Makeup Mirror With 8 Lights For Girl's Portable Dressing Mirror, Desk/Table Top Design With High-End Feeling For Home Tabletop, Bathroom, Dresser Vanity & Countertop Bedroom Travel Dormitory Mirror Women Gift",us-shein-appliances-3987.csv,Appliances
1.9,Unknown,10+ sold recently,"Disposable Toilet Brush, Household Cleaning Tool For Toilet With No Dead Ends",us-shein-appliances-3987.csv,Appliances
9.2,Unknown,900+ sold recently,10pcs Fridge Freezer Storage Container Food Classification Grids Ice Cream Sealed Refrigerator Box Without Cross-flavor,us-shein-appliances-3987.csv,Appliances
1.9,Unknown,Unknown,8pcs+4pcs Kitchen Sponge Dishwashing Cloth Double-Sided Cleaning Scrubbing Household Cleaning Cloth Kitchenware Dishwashing,us-shein-appliances-3987.csv,Appliances
1.67,-30%,Unknown,"Nose Hair Trimmer, 1PC Electric Nose Hair Trimmer, Professional Painless Nose And Ear Hair Trimmer For Women Men Waterproof Stainless Steel Head Dual Edge Blades Nose Hair Remover Mute Efficient Battery-Operated Easy Cleansing, For Eyebrows, Neckline, Nose & Ear Hair, Precision Detail Trimming",us-shein-appliances-3987.csv,Appliances
2.68,-29%,600+ sold recently,"1pc 250ml Humidifier, Cute Cartoon Cat Design Mini Desktop Atomizer Hydrating Device For Bedroom",us-shein-appliances-3987.csv,Appliances
1.7,-60%,Unknown,"1PC/2PCS Quick-Dry Coffee Mat - Large Absorbent Draining Pad For Dishes, Bathroom, And Kitchen",us-shein-appliances-3987.csv,Appliances
4.02,-18%,Unknown,1pc Kitchen Mechanical Timer Egg Shaped Reminder For Baking & Cooking,us-shein-appliances-3987.csv,Appliances
69.26,-5%,70+ sold recently,"CHEFTRONIC Stand Mixer, , 3.8 Qt Tilt-Head Electric Household Stand Mixer - 300W 6+P Speed, Multifunctional Kitchen Stand Up Mixer With Dough Hook, Whisk, Food Beater And Butter Beater",us-shein-appliances-3987.csv,Appliances
3.9,Unknown,Unknown,1pc Portable Mini Electrostatic Dry Cleaning Brush Clothes Dust Remover Hair Lint Sticky Roller For Clothes And Sofa,us-shein-appliances-3987.csv,Appliances
4.45,-50%,Unknown,"1PC Glass Honey Jar,  Honey Container With Wooden Scoop And Lid, Honey Jar With Wooden Plunger For Home Kitchen Storage Of Honey Syrup Hive Honey",us-shein-appliances-3987.csv,Appliances
5.96,-37%,Unknown,"1pc Small Portable Car Vacuum Cleaner With Strong Suction, Multipurpose And Convenient For Multiple Scenarios",us-shein-appliances-3987.csv,Appliances
0.87,-49%,40+ sold recently,"Heart-Shaped Scraping Board, Imitation Jade/Pink Crystal/Plastic Crystal Scraping Board",us-shein-appliances-3987.csv,Appliances
2.1,Unknown,Unknown,"1pc, Abs Utensil Rest With Drip Pad, Kitchen Utensil Holder For Spoons, Ladles, Tongs, Spatulas And More, Kitchen Gadgets, Kitchen Stuff, Kitchen Accessories, Home Kitchen Items",us-shein-appliances-3987.csv,Appliances
7.4,-16%,Unknown,"1Pc Electric Toothbrush With 6 Replaceable Brush Heads, Usb Rechargeable, 5 Cleaning Modes, With Bathroom Wall-Mounted Toothbrush Holder Storage Rack And Travel Toothbrush Head Cover (Portable Protective Cap), Sonic Intelligent Toothbrush Ipx7 Full Body Waterproof For Home Bathroom Travel",us-shein-appliances-3987.csv,Appliances
11.49,-35%,Unknown,"Teckwe 22mm Curling Iron,Triple Tube Hair Curler,3 Barrel Curling Iron Wand,Egg Roll Hair Curler Water Ripples,Water Ripples,Egg Rolls,Straight Hair And Bouncy Curly Hair,Fast Heat Up & Dual Voltage Crimp For Women Girls Home - US Plug",us-shein-appliances-3987.csv,Appliances
4.3,Unknown,Unknown,"Black Satin Diffuser Cap | Enhance Hair Drying, Reduce Frizz",us-shein-appliances-3987.csv,Appliances
26.99,-50%,70+ sold recently,"Cozeemax Panini Press Grill, Compact Size, Gourmet Sandwich maker with Non-Stick Coating Plate, Opens 180 Degrees, Black",us-shein-appliances-3987.csv,Appliances
20.7,Unknown,Unknown,"XLIFE X1+  Ear Wax Removal Tool - Spade Ear Cleaner With Ear Camera, Oral Examination Accessory, Nasal Examination Accessory Included,1080P Ear Scope, Earwax Remover Picker With 6 Replacement",us-shein-appliances-3987.csv,Appliances
3.3,Unknown,Unknown,Light Up Your Home With 1pc Motion Sensor Cabinet Light - USB Rechargeable & Battery Powered!,us-shein-appliances-3987.csv,Appliances
4.9,Unknown,20+ sold recently,"1pc Silicone Ice Cube Mould,  Cylinder 3D Ice Cube Maker,Simple Bucket Design Ice Cube Maker Tray With Lid For Kitchen Seafood Sashimi, Back To School Supplies",us-shein-appliances-3987.csv,Appliances
8.1,Unknown,300+ sold recently,1Pc 2023 New Mini Neck Fan Portable Bladeless Hanging Neck Rechargeable Air Cooler 3 Speed Mini Summer Sports Fans,us-shein-appliances-3987.csv,Appliances
7.3,Unknown,Unknown,"1pc USB Rechargeable Electric Water Pump, Compact And Exquisite Design, Easy Installation, Convenient And Practical, One-Button Operation, Blue Light Display. Fully Charged To Pump About 6 Barrels Of 19L Bottled Water, Motor-Driven.",us-shein-appliances-3987.csv,Appliances
3.1,Unknown,Unknown,"6pcs/Set Silicone Stretch Lids,6 Pack Reusable Silicone Lids,Durable Food Storage Silicone Covers For Bowl, To Keep Food Fresh,For Can, Cup And Glass Jars",us-shein-appliances-3987.csv,Appliances
3.3,Unknown,300+ sold recently,"1pc+oil Sprayer+kitchen Oil Sprayer+camping Utensils And Tools+bbq Utensils+olive Oil Sprayer+creative Oil Sprayer Bottle+salad Barbeque Kitchen Baking Baking Household Oil Sprayer+glass Bottle+kitchen Supplies+kitchen Gadgets+help Oil Control, Hygiene And Health",us-shein-appliances-3987.csv,Appliances
2.05,-69%,200+ sold recently,"Kitchen Items,1pc Microwave Bacon Maker Microwavable Bacon Grill, Bacon Tray, Pizza Tray, Sauce Tray, Microwave Oven Cooker",us-shein-appliances-3987.csv,Appliances
10.99,-27%,Unknown,"JMMO Electric Portable Juicer,Portable Blender Juicer,Personal Size Blender Smoothies And Shakes,Mini Blender USB Rechargeable,Handheld Blender Sports,High Speed & Long Battery Life For Travel Home 300ML",us-shein-appliances-3987.csv,Appliances
14.4,-4%,Unknown,"Portable Automatic Hair Curler, Wireless Rechargeable Curling Iron Ideal Hair Curling Iron Wand Curling Iron For Travel, Home And Various Occasions Gift For Women",us-shein-appliances-3987.csv,Appliances
21.8,Unknown,Unknown,"XLIFE Q3 Cartoon Ear Wax Removal Tool - Spade Ear Cleaner With Ear Camera, Oral Examination Accessory, Nasal Examination Accessory Included,1080P Ear Scope, Earwax Remover Picker With 6 Replacement Tips Ear Pick With 6 LED Light For Earwax Cleaning, Support IPhone",us-shein-appliances-3987.csv,Appliances
1.69,-71%,Unknown,"Night Lights Note Board Creative Led Night Light USB Message Board Holiday Light With Pen Gift For Children Girlfriend Decoration Night Lamp (Emitting Color : Blank Board-1 Pen), Multicolor",us-shein-appliances-3987.csv,Appliances
4.0,Unknown,Unknown,"1/2pcs Reusable Silicone Air Fryer Liners For Air Fryer And Baking Tray, Air Fryer Accessories For Home Kitchen",us-shein-appliances-3987.csv,Appliances
